Nr	Issue-ID	Bereich	Todo	Unterpunkt / Detail	Status	Priorität	Owner	Nächster Schritt	Nachweis / Code-Doku	Eröffnet am	Zieldatum	Letztes Update	Blocker / Entscheid	Kommentar
1	ISS-001	Sales Database / Datenzufluss	Datenzufluss TR AT, TR CH und TR FR steht seit 31.07.2026	Dachthema, Unterpunkte 1.1 und 1.2	Läuft	Hoch	Ingo	Zwei verschiedene Ursachen, getrennt abarbeiten. Die Anwendung ist in beiden Fällen entlastet	docs/Issue_Log_Kommentare_2026-08-11.tsv	11.08.2026		12.08.2026		Ursache am 12.08.2026 geklärt, vorher stand hier "nicht geprüft". Die Exporte LAUFEN: ExportLogs zeigt für alle Standorte Status OK, letzter Lauf 12.08. um 12:12 bis 12:14. Kein Fehlerlauf ausser einem einzelnen TRUK-Fehler am 11.08. Es ist also kein Exportproblem, sondern in beiden Fällen liefert die Quelle keine neuen Belege. Beweis dafür, dass nichts unterwegs verloren geht: die importierte Zeilenzahl ist bei jedem Lauf exakt gleich der Zeilenzahl in der Quelle.
1	ISS-001.1	Datenzufluss CH/AT	SAP liefert seit dem 28.07.2026 unverändert denselben Datenstand	Batchjob ZSCHWEIZ seit 12.08.2026 täglich aktiv, Wirkung am selben Tag bestätigt	Erledigt	Hoch	Ingo	Keine Aktion. Beim nächsten Monatswechsel einmal gegenprüfen, dass der Job weiterhin läuft	.tmp_tools/OdataProbe (read-only Live-Abfrage 12.08.2026)	11.08.2026		12.08.2026		BEWIESEN, nicht vermutet: die Anwendung liest korrekt das Produktivsystem travp762. Die Live-Abfrage dort liefert Gesamt 48'932 und Gjahr 2026 = 18'290. Genau diese 48'932 hat der Export bei JEDEM der 16 Läufe seit dem 28.07. importiert, und 18'290 ist exakt das Ergebnis des manuellen Reportlaufs von Ingo am 28.07. Das SAP-System selbst wird also nicht nachgefüllt. Zum Vergleich liefert das Testsystem travt762 nur 40'506 beziehungsweise 9'864, die Quellumstellung war demnach richtig und ist erledigt. ERLEDIGT am 12.08.2026: Ingo hat den Batchjob ZSCHWEIZ in SAP auf täglich gestellt, und der Gesamtexport all8.xlsx von 14:39 belegt die Wirkung noch am selben Tag. CH hat 48'276 statt 47'142 Zeilen und AT 1'839 statt 1'790, zusammen 50'115. Der August 2026 erscheint erstmals mit CH 745 und AT 40 Zeilen, der letzte Beleg beider Standorte ist der 12.08. Wichtig: dieser Wert liegt genau im vorher berechneten Erwartungsfenster von 50'100 bis 50'400. Er ist NICHT rund 18'300, das Jahr 2025 ist also erhalten geblieben, und NICHT rund 67'000, der Report hat 2026 also ersetzt und nicht verdoppelt. Beides waren die beiden Risiken der Lösch-und-Ersetz-Mechanik in CentralSalesRecordService.ReplaceForSiteAsync.
1	ISS-001.2	Datenzufluss TR FR	B1 Frankreich enthält seit dem 30.07.2026 keine Rechnung mehr	Warenausgang und Fakturierung stehen, Auftragseingang und Wareneingang laufen	Offen, wartet auf andere	Hoch	Frankreich / Ingo	Frankreich gezielt fragen, warum seit dem 30.07. weder geliefert noch fakturiert wird, obwohl Aufträge und Wareneingänge weiterlaufen, und wann der Rückstand nachgebucht wird	.tmp_tools/HanaQ gegen FR01_P mit OINV, ORIN, ODLN, ORDR und ODRF (read-only, 12.08.2026)	12.08.2026		12.08.2026	Antwort aus Frankreich	Direkt in der Quelle geprüft: FR01_P."OINV" endet beim 30.07.2026. Mai 48, Juni 50, Juli 67 Belege, danach nichts. Die Anwendung ist damit entlastet. Saisonale Werksferien erklären es NICHT: im August 2025 hatte Frankreich 99 Zeilen, im August 2026 keine einzige. Zeitlicher Zusammenhang mit dem B1-Upgrade vom 03.08. ist möglich, aber nicht belegt, denn Italien und die USA hängen am selben HANA-Host und buchen weiter, IT bis 05.08. und US bis 10.08. NACHTRAG 12.08.2026, alle Belegarten einzeln geprüft: Rechnungen OINV letzter 30.07., Lieferscheine ODLN letzter 30.07., Gutschriften ORIN keine seit dem 25.07., Aufträge ORDR letzter 07.08., Entwürfe ODRF 12 Stück am 11.08. und alle mit ObjType 20, also Wareneingänge zu Bestellungen. Frankreich arbeitet demnach weiter, nimmt Aufträge an und empfängt Ware, liefert und fakturiert aber seit dem 30.07. nicht. Warenausgang und Faktura enden am exakt selben Tag, das deutet auf eine Betriebsschliessung oder eine Sperre im Ausgangsprozess, nicht auf ein Systemproblem. Eine zweite Firmendatenbank aus dem Upgrade gibt es nicht, SYS.SCHEMAS kennt nur FR01_P. Ebenfalls geklärt: die täglich frischen Dateien Sales_ProcessedMergeInput_TRFR und Sales_TRFR in SharePoint sind UNSERE Exportausgaben und keine Lieferung aus Frankreich; sie enthalten unverändert 2'598 Zeilen. Erwartung: der Umsatz erscheint rückwirkend mit Juli- und August-Daten, sobald Frankreich den Rückstand bucht.
2	ISS-002	CH/AT Kostenbasis	WAVWR_DC / FKIMG als führende lokale Kostenbasis nutzen, Fallback auf STPRS_HC		Erledigt	Hoch	App	Keine Aktion. Die fachliche Folgefrage läuft als ISS-003.4 weiter	Services/SapCompositionService.cs; docs/FINANCE_VBRP_WAVWR_SPEZ_2026-07-16.md	27.07.2026		12.08.2026		Kostenbasis ist da und gefüllt: CH/AT 47'350 von 48'932 Zeilen (96,8 %). Am 12.08.2026 neu gemessen: CH 96,6 %, AT 99,9 %. Die frühere Folgeabhängigkeit, dass die Kostenbasis wegen leerer Lieferantenfelder in der Gruppenmarge nicht wirkt, ist durch die CH/AT-TSC-Regel und den Stammdaten-Fallback aufgelöst.
3	ISS-003	Sales Database / Lieferant und Gruppenmarge	Der Lieferant wird bei sehr vielen Gesellschaften nicht angezeigt	Dachthema, Unterpunkte 3.1 bis 3.5	Läuft	Hoch	App / Standorte	Die fünf Unterpunkte einzeln abarbeiten, nicht das Dachthema als Ganzes	docs/SUPPLIER_LAENDERSTATUS_CH_AT_PRUEFUNG_2026-08-11.md	28.07.2026		12.08.2026		Auf dem Gesamtexport all8.xlsx vom 12.08.2026, 14:39, gemessen: 18'263 von 97'537 Zeilen (18,7 %) haben alle drei Lieferantenfelder, 79'274 haben keines davon. Quote je Land: UK 100 %, IT 71,2 %, IN 11,8 %, FR 5,2 %, US 0,4 %, CH/AT/DE/ES 0 %. Der Anteil ist gegenüber dem Vormittag leicht gesunken, weil durch den CH/AT-Nachlauf 1'183 Zeilen ohne Lieferantenfelder hinzukamen; in absoluten Zahlen hat sich nichts verschlechtert. Die globale Quote allein ist fachlich nicht aussagekräftig, weil die Länder verschiedene Quellen und Ersatzmerkmale haben.
4	ISS-003.1	Lieferant / Klassifikation über Stammdaten	CH-Werkstamm-Fallback und lokale Standardkosten bei sicherem Nichttreffer	Technischer Ersatz für fehlende Lieferantenfelder	Erledigt	Hoch	App	Angemeldeter Sichtprüflauf der neuen Lokal-Zahl in Cockpit-Zusammenfassung, Ländertabelle und Prüfbuch	docs/FINANCE_ANDREAS_BESCHLUSS_LOKALE_STANDARDKOSTEN_2026-08-11.md; Services/GroupMarginSupplierClassifier.cs	11.08.2026		12.08.2026		Beide Stufen sind produktiv: MARC-Werk-1100-Fallback am 11.08., lokale Standardkosten bei Nichttreffer am 12.08. um 10:23. Nach dem Deploy gegen die Produktiv-DB nachgemessen: 22'950 Kandidatenzeilen, davon 10'817 CH-intern und 12'023 Lokal. Ein expliziter Supplier und ein gepflegter Sales Type behalten immer Vorrang.
5	ISS-003.2	Lieferant / lokale Standardkosten	5'274 lokale Zeilen ohne positiven lokalen Standardpreis	Schwerpunkt TRDE mit 2'252 und TRFR mit 1'203 Zeilen	Offen	Mittel	Standorte	Fachlich entscheiden, ob Deutschland und Frankreich diese Standardpreise pflegen können	.tmp_tools/MeasureAndreasLocalFallback (read-only)	12.08.2026		12.08.2026		Dazu kommen 110 Zeilen ohne Materialschlüssel, die bewusst "Lieferant unklar" bleiben, weil kein belastbarer Nichttreffer vorliegt. Füllgrad Standardkosten gesamt am 12.08.2026: FR 51,7 %, DE 68,7 %, ES 81,0 %, US 90,0 %, UK 93,5 %, IT 95,7 %, CH 96,6 %, IN 99,4 %, AT 99,9 %.
6	ISS-003.3	Lieferant / DE und ES Quelle	Deutschland und Spanien liefern 0 % Lieferantenfelder	DE zusätzlich ohne Kundenland	Offen	Mittel	Ingo / Standorte	ZUERST prüfen, ob unsere eigene Export-SQL die Spalte überhaupt liest, erst danach den Standort fragen	AlphaplanExportPackage/, SageSpainExportPackage/; docs/RAG_ROUTER.md Regel 7 und 8	28.07.2026		12.08.2026	Reihenfolge: eigene Query vor Standortanfrage	Deutschland: 7'332 von 7'332 Zeilen ohne jedes Lieferantenfeld und ohne CustomerCountry, am 12.08.2026 erneut gemessen. Genau dieser Fehler ist am 03.08.2026 schon einmal passiert, als Deutschland um Pflege gebeten wurde, obwohl unsere Query die Spalte nicht las.
7	ISS-003.4	Lieferant / CH-AT Herstellerregel	Gilt Intern / TR_AG auch dann, wenn zum Material ein externer Einkaufsbeleg existiert?	Fachentscheid, priorisierte Stichprobe liegt vor	Offen, wartet auf Entscheid	Hoch	Andreas	Die priorisierte Stichprobe fachlich einordnen, insbesondere F88103 und R13025	docs/SUPPLIER_LAENDERSTATUS_CH_AT_PRUEFUNG_2026-08-11.md, Abschnitt Restentscheidung	11.08.2026		11.08.2026	Entscheid Andreas	1'191 Materialien beziehungsweise 5'910 CH/AT-Zeilen (12,1 %) tragen einen Fremdbezugs-Prüfhinweis; 734 Materialien / 8'045 Zeilen sind als intern gestützt. Andreas muss nicht alle Materialien prüfen, nur die Regelfrage entscheiden. Bei einer Ausnahme zuerst eine Zusatzbedingung definieren, nicht 1'191 Materialien blind umklassifizieren.
8	ISS-003.5	Lieferant / Umschalter	Supplier-Fallback je Land wählbar statt global	Idee Ingo, 12.08.2026	Offen, Vorfrage	Niedrig	App / Andreas	Andreas fragen, ob eine Aufteilung je Land überhaupt gewollt ist	Services/GroupMarginSupplierClassifier.cs; ExportSettings.SupplierFallbackMode	12.08.2026		12.08.2026	Fachentscheid vor Umsetzung	Heute gibt es genau einen globalen Schalter. Je Land heisst, den Modus je Zeile im Klassifizierer aufzulösen, und Cockpit und Excel müssen das garantiert identisch tun, sonst fällt die Einheitlichkeit, die der Deploy vom 06.08.2026 hergestellt hat. Andreas wollte den Workaround ausdrücklich für die Gesellschaften standardisiert.
