Nr.	Issue-ID	Bereich	Todo	Status	Priorität	Owner	Nächster Schritt	Nachweis / Code-Doku	Eröffnet am	Zieldatum	Letztes Update	Blocker / Entscheid	Kommentar
1	ISS-002	CH/AT Kostenbasis	WAVWR_DC / FKIMG als führende lokale Kostenbasis nutzen; Fallback auf STPRS_HC	Erledigt	Hoch	App	Keine Aktion	Services/SapCompositionService.cs; docs/FINANCE_VBRP_WAVWR_SPEZ_2026-07-16.md	27.07.2026		12.08.2026		Kostenbasis ist gefüllt: CH/AT 47'350 von 48'932 Zeilen (96,8 %), am 12.08.2026 neu gemessen CH 96,6 % und AT 99,9 %. Der frühere nächste Schritt "WavwrDc=Waerk bestätigen" ist gegenstandslos: die zentrale Datenbank speichert nur den aufgelösten Stückpreis, nicht den Rohwert, die Gleichheit ist also lokal nicht nachrechenbar und in der SAP-Dokumentation anhand von Originalzeilen bereits bestätigt. Die frühere Folgeabhängigkeit, dass die Kostenbasis wegen leerer Lieferantenfelder in der Gruppenmarge nicht wirkt, ist durch die CH/AT-TSC-Regel aufgelöst.
2	ISS-011	TR UK Sales	Daten TR UK für 2025 fehlen	Erledigt	Hoch	Ingo	Nur Regression bei künftigen Exporten überwachen	docs/FINANCE_UK2025_WERTFEHLER_2026-08-10.md, Abschnitt Abnahme 11.08.2026	27.07.2026		11.08.2026		Am 11.08.2026 im zentralen Excel geprüft und abgenommen: UK 2025 = 3'529'861.80 GBP = 99,7 % des Solls 3'538'972, Marge +33,8 % statt −502,7 %, 1'867 Zeilen. Wichtig für die Historie: die Zeilen waren seit dem 28.07. vollständig, die BETRÄGE aber falsch, Stückpreis statt Zeilenwert und nur 11 % des Solls. "Erledigt" bedeutete damals also nur "Zeilen sind da". UK ist zusätzlich das einzige Land mit 100 % gefüllten Lieferantenfeldern.
3	ISS-004.1	TR ES Sales	Daten für TR ES Jan bis Mai 2026 fehlen	Offen	Mittel	Ingo	Range-Export 01.01.2026 bis 27.05.2026 nachziehen	SageSpainExportPackage/; Spain_Sales_range_20260528_to_20260603.csv	28.07.2026		12.08.2026		STATUS KORRIGIERT: stand als "Warten auf andere" mit Mail an Rohail. Es muss aber niemand antworten, denn die Sage-Export-SQL ist unsere und liegt in SageSpainExportPackage. Owner ist damit Ingo. Am 12.08.2026 unverändert bestätigt: Januar bis April 0 Zeilen, Mai nur 35, danach normal mit Juni 542 und Juli 503. 2025 ist über alle zwölf Monate vollständig.
4	ISS-001	TR AT und CH	Daten scheinen ab Mitte April nur noch vereinzelt geladen zu werden	Erledigt	Hoch	Ingo	Beim nächsten Monatswechsel einmal gegenprüfen, dass der SAP-Batchjob weiterhin läuft	.tmp_tools/OdataProbe; docs/FINANCE_CHAT_2026_LUECKE_ROOTCAUSE_2026-07-28.md	28.07.2026		12.08.2026		Zwei Stufen, beide erledigt. Erstens die Ursache von Juli: das Dashboard las das TEST-System T76 statt P76; Sites.SapServiceUrl steht inzwischen auf travp762, damit ist auch der frühere Punkt "Quelle umstellen" durch, und 2025 ist mit 30'642 Zeilen in beiden Systemen vollständig. Zweitens ein Folgeproblem, das darunter lag und im alten Log fehlte: von 31.07. bis 12.08. kamen für AT und CH KEINE neuen Zeilen, weil der SAP-Report Z_TRAFAG_DACH_EXPORT nur manuell lief. Ingo hat den Batchjob ZSCHWEIZ am 12.08.2026 auf täglich gestellt, und der Gesamtexport all8.xlsx von 14:39 belegt die Wirkung am selben Tag: CH 48'276 statt 47'142 Zeilen, AT 1'839 statt 1'790, August 2026 erstmals vorhanden, letzter Beleg 12.08. Der Wert liegt im vorher berechneten Fenster, 2025 ist erhalten und 2026 wurde ersetzt statt verdoppelt.
5	ISS-001.2	Datenzufluss TR FR	B1 Frankreich enthält seit dem 30.07.2026 keine Rechnung mehr	Warten auf andere	Hoch	Frankreich / Ingo	Frankreich gezielt fragen, warum seit dem 30.07. weder geliefert noch fakturiert wird, obwohl Aufträge und Wareneingänge weiterlaufen, und wann der Rückstand nachgebucht wird	.tmp_tools/HanaQ gegen FR01_P mit OINV, ORIN, ODLN, ORDR, ODRF (read-only, 12.08.2026)	12.08.2026		12.08.2026	Antwort aus Frankreich	NEU AUFGENOMMEN, im alten Log nicht enthalten. Direkt in der Quelle geprüft: Rechnungen OINV letzter 30.07., Lieferscheine ODLN letzter 30.07., Gutschriften ORIN keine seit dem 25.07., Aufträge ORDR letzter 07.08., Entwürfe ODRF 12 Stück am 11.08. und alle vom Typ 20, also Wareneingänge zu Bestellungen. Frankreich arbeitet also weiter, nimmt Aufträge an und empfängt Ware, liefert und fakturiert aber nicht. Warenausgang und Faktura enden am exakt selben Tag, das deutet auf eine Betriebsschliessung oder eine Sperre im Ausgangsprozess, nicht auf ein Systemproblem. Saisonalität allein erklärt es nicht, im August 2025 gab es 99 Zeilen. Eine zweite Firmendatenbank aus dem B1-Upgrade ist ausgeschlossen, SYS.SCHEMAS kennt nur FR01_P. Die täglich frischen TRFR-Dateien in SharePoint sind UNSERE Exportausgaben, keine Lieferung aus Frankreich, und enthalten unverändert 2'598 Zeilen. Erwartung: der Umsatz erscheint rückwirkend, sobald Frankreich bucht.
6	ISS-004.2	Sales Database TR ES	Posting Date fehlt bei TR ES	Offen	Mittel	Ingo / Spanien	FacturasTB im Exportskript joinen und FechaAsiento als PostingDate ausgeben, danach im ES-Mapping auf SalesRecord.PostingDate mappen	docs/FINANCE_ISSUE_LOG_ANDREAS_2026-07-28.md §1; docs/FINANCE_ES_BUCHUNGSDATUM_2026-08-03.md	28.07.2026		12.08.2026	Join-Schlüssel zu den Lieferscheinpositionen offen	STATUS KORRIGIERT: stand als "Warten auf andere". Sage HAT das Buchungsdatum, es heisst FacturasTB.FechaAsiento und ist in der Stichprobe zu 100 % gefüllt; es fehlt nur im Export, und der Export ist unser. Offen sind der Join-Schlüssel und die Behandlung von Gutschriften. Am 12.08.2026 gemessen: PostingDate fehlt bei 5'731 von 5'731 ES-Zeilen. WICHTIGE KORREKTUR gegenüber der Analyse vom 28.07.: die 250 ES-Zeilen ohne jedes Datum fallen NICHT aus der Auswertung, sie sind schlechter eingeordnet. Die Spalte Finance | Date nutzt die Fallback-Kette bis zum ExtractionDate, deshalb landen sie im Monat des Exportlaufs. Nachgerechnet: ES hat im August nach Belegdatum 86 Zeilen, im Export 336, Differenz genau 250; UK 91 gegenüber 107, Differenz genau 16. Der laufende Monat wird also um 266 Zeilen aufgebläht.
7	ISS-003	Sales Database	Der Lieferant wird bei sehr vielen Gesellschaften nicht angezeigt	läuft	Hoch	App / Standorte	Technik ist fertig. Offen sind nur noch die Rohdatenquellen für DE und ES sowie Andreas' Entscheid zur CH/AT-Herstellerregel	docs/SUPPLIER_LAENDERSTATUS_CH_AT_PRUEFUNG_2026-08-11.md; Services/GroupMarginSupplierClassifier.cs	28.07.2026		12.08.2026		Auf all8.xlsx vom 12.08.2026 gemessen: 18'263 von 97'537 Zeilen (18,7 %) haben alle drei Lieferantenfelder, 79'274 keines. Je Land UK 100 %, IT 71,2 %, IN 11,8 %, FR 5,2 %, US 0,4 %, CH/AT/DE/ES 0 %. Der Anteil ist gegenüber dem 11.08. leicht gesunken, weil der CH/AT-Nachlauf 1'183 Zeilen ohne Lieferantenfelder brachte; absolut hat sich nichts verschlechtert. NEU seit dem alten Kommentar: der technische Ersatz ist in beiden Stufen produktiv, MARC-Werk-1100-Fallback am 11.08. und Andreas' lokale Standardkosten bei sicherem Nichttreffer am 12.08. um 10:23. Wirkung nachgemessen: 22'950 Kandidaten, davon 10'817 CH-intern und 12'023 Lokal, 6'749 davon mit positivem Standardpreis. Indien ist über Sales Type zu 94,1 % klassifizierbar, nicht erneut zur Lieferantenpflege auffordern. CH/AT bleibt keine Zirkularreferenz.
8	ISS-004.3	Sales Database	Customer Country code is not standardized	Erledigt	Mittel	Ingo	Keine Aktion	Services/TransformationStrategies.cs, NormalizeCountryCodeTransformationStrategy	28.07.2026		12.08.2026		Am 12.08.2026 dreifach belegt: der Typ NormalizeCountryCodeTransformationStrategy ist in der ausgelieferten Server-DLL nachgewiesen, die Produktivdaten zeigen für Spanien ISO-2-Codes (ES 3'955, BR 244, PT 233, PE 202, MX 195), und der Spaltenscan über all8.xlsx findet bei keinem Standort einen Wert, der nicht zweistellig ist. Der Reimport hat also stattgefunden. Die Dokumentation führte diesen Punkt noch als "Deploy offen", dein Blatt war hier besser als die MDs.
9	ISS-003.2	Lieferant / lokale Standardkosten	5'274 lokale Zeilen ohne positiven lokalen Standardpreis	Offen	Mittel	Standorte	Entscheiden, ob Deutschland und Frankreich diese Standardpreise pflegen können	.tmp_tools/MeasureAndreasLocalFallback (read-only)	12.08.2026		12.08.2026		NEU. Folge von Andreas' Regel: 12'023 Zeilen wechseln auf die Kategorie Lokal, aber nur 6'749 haben einen positiven lokalen Standardpreis. Schwerpunkt der Lücke TRDE mit 2'252 und TRFR mit 1'203 Zeilen. Dazu 110 Zeilen ohne Materialschlüssel, die bewusst Lieferant unklar bleiben. Füllgrad Standardkosten gesamt am 12.08.: FR 51,7 %, DE 68,7 %, ES 81,0 %, US 90,0 %, UK 93,5 %, IT 95,7 %, CH 96,6 %, IN 99,4 %, AT 99,9 %.
10	ISS-003.3	Lieferant / DE und ES Quelle	Deutschland liefert weder Lieferantenfelder noch Kundenland	Offen	Mittel	Ingo / Standorte	ZUERST prüfen, ob unsere eigene Export-SQL die Spalten liest, erst danach den Standort fragen	AlphaplanExportPackage/; docs/RAG_ROUTER.md Regel 7 und 8	28.07.2026		12.08.2026	Reihenfolge: eigene Query vor Standortanfrage	NEU als eigene Zeile. Alle 7'335 TRDE-Zeilen haben leere Lieferantenfelder und kein CustomerCountry, am 12.08.2026 auf all8.xlsx bestätigt. Deutschland fehlt in der Kundenland-Auswertung komplett, weil überhaupt kein Wert vorhanden ist. Genau dieser Fehler ist am 03.08.2026 schon einmal passiert: Deutschland wurde um Pflege gebeten, obwohl unsere Query die Spalte nicht las.
11	ISS-003.4	Lieferant / CH-AT Herstellerregel	Gilt Intern / TR_AG auch dann, wenn zum Material ein externer Einkaufsbeleg existiert?	Warten auf Entscheid	Hoch	Andreas	Die priorisierte Stichprobe fachlich einordnen, insbesondere F88103 und R13025	docs/SUPPLIER_LAENDERSTATUS_CH_AT_PRUEFUNG_2026-08-11.md, Abschnitt Restentscheidung	11.08.2026		11.08.2026	Entscheid Andreas	NEU als eigene Zeile, war im alten Log nur ein Satz im Supplier-Kommentar. 1'191 Materialien beziehungsweise 5'910 CH/AT-Zeilen (12,1 %) tragen einen Fremdbezugs-Prüfhinweis, 734 Materialien mit 8'045 Zeilen sind als intern gestützt. Andreas muss nicht alle Materialien prüfen, nur die Regelfrage entscheiden. Bei einer Ausnahme zuerst eine fachliche Zusatzbedingung definieren, nicht 1'191 Materialien blind umklassifizieren.
12	ISS-003.5	Lieferant / Umschalter	Supplier-Fallback je Land wählbar statt global	Offen, Vorfrage	Niedrig	App / Andreas	Andreas fragen, ob eine Aufteilung je Land überhaupt gewollt ist	Services/GroupMarginSupplierClassifier.cs; ExportSettings.SupplierFallbackMode	12.08.2026		12.08.2026	Fachentscheid vor Umsetzung	NEU, Idee Ingo vom 12.08.2026. Heute gibt es genau einen globalen Schalter. Je Land heisst, den Modus je Zeile im Klassifizierer aufzulösen, und Cockpit und Excel müssen das garantiert identisch tun, sonst fällt die Einheitlichkeit, die der Deploy vom 06.08.2026 hergestellt hat. Andreas wollte den Workaround ausdrücklich für die Gesellschaften standardisiert, eine Aufteilung läuft dem entgegen.
13	ISS-013	Gesamtexport / Spaltenumfang	Sales Type und Trafag-Sachnummer fehlen im Gesamtexport	Offen	Mittel	App	Beide Felder in den konsolidierten Export aufnehmen, danach die Indien-Quote im Excel gegen die App gegenprüfen	Spaltenscan mit .tmp_tools/IssueLogFacts --headers gegen all8.xlsx; Services/ExcelExportService.cs	12.08.2026		12.08.2026		NEU, gefunden am 12.08.2026 beim Prüfen von all8.xlsx. Der Export kennt Supplier number, name und country, Standard cost und Product Group, aber KEINE Spalte für Sales Type und keine Trafag-Sachnummer, obwohl die Datenbank beide seit dem 05.08.2026 führt. Folge: wer die Lieferantenvollständigkeit in diesem Excel beurteilt, sieht Indien bei 11,8 % und schliesst auf eine grosse Pflegelücke, während die Anwendung intern 94,1 % der indischen Zeilen über den Sales Type klassifiziert. Genau diese Fehleinschätzung führte am 05.08. zu einer gegenstandslosen Pflegebitte an Indien.
14	ISS-006	CH/AT Journal	SAP-EntitySet FinanzJournalSet als Voraussetzung für das CH/AT-Journal	Offen	Mittel	SAP / Ingo	EntitySet in SAP aktivieren, danach Metadata und eine Datenantwort prüfen	docs/FINANCE_JOURNAL_SAP_ODATA_SPEZ_2026-07-14.md	14.07.2026		12.08.2026	Aktivierung in SAP	NEU als eigene Zeile. Die Spezifikation liegt vollständig vor. Gleiche Fehlerklasse wie die ZDISPO-Sets im Einkauf, die am 12.08.2026 aktiviert wurden und seither HTTP 200 liefern.
15	ISS-007	Kostenbasis / Bewertungsmethoden	Nach dem B1-Upgrade Import FR/IT/US/IN, StandardCost-Füllgrad und EvalSystem erneut prüfen	läuft	Mittel	Ingo	Füllgrad je Standort gegen die Erwartung nach dem Upgrade bewerten und EvalSystem prüfen	docs/FINANCE_STANDARDKOSTEN_SITZUNG_ANDREAS_2026-07-27.md	27.07.2026		12.08.2026		NEU als eigene Zeile. Go-live war für den 03.08.2026 angekündigt, die Importe laufen. Füllgrad Standardkosten am 12.08.2026 gemessen: FR 51,7 %, DE 68,7 %, ES 81,0 %, US 90,0 %, UK 93,5 %, IT 95,7 %, CH 96,6 %, IN 99,4 %, AT 99,9 %. Frankreich ist der Schwachpunkt. FALLE bei eigenen Abfragen: StandardCost ist eine TEXT-Spalte, in SQLite ist Text grösser als jede Zahl, deshalb liefert StandardCost > 0 für jede Zeile wahr und damit falsche 100 %. Nur mit CAST als REAL messen.
16	ISS-007.1	TR IT Kostenbasis	Moving Average und Cost-Run-Frage mit Paola abschliessen	Offen	Mittel	Paola / Ingo	Bewertung der Umstellung auf Moving Average mit Paola klären	docs/rag/FINANCE.md; docs/FINANCE_IT_VORGEHEN_2026-05-18.md	18.05.2026	Ende August 2026	12.08.2026		NEU als eigene Zeile. Für den ersten Schritt ist INV1.StockPrice als Kostenbasis freigegeben und davon unabhängig. Italien liegt beim Füllgrad mit 95,7 % gut.
17	ISS-008	Finance Reporting	Budget-CHF als Kontroll- und Reportinggrösse einführen	Offen	Niedrig	Finance / Andreas	Finance entscheidet Kurse und Freigabe, Pflegeprozess, Spaltenumfang, Fehlkursverhalten, Rundung und Anzeigeort	docs/FINANCE_BUDGET_CHF_FRAGEN_FINANZCHEF_2026-06-15.md	15.06.2026		12.08.2026	Sechs offene Entscheide bei Finance	NEU als eigene Zeile. Budget-CHF ist Kontroll- und Reportingkandidat, nicht Standardabgleich. Ohne diese sechs Entscheide ist keine Umsetzung sinnvoll.
18	ISS-009	Gruppenmarge	Fachfreigabe der Gruppenmarge als führender Abschlusswert	Offen	Mittel	Andreas / Finance	Freigabe erteilen oder die verbleibenden Vorbehalte benennen	docs/FINANCE_GRUPPENMARGE_2026-06-16.md; docs/FINANCE_ANZEIGE_PRUEFUNG_2026-08-06.md	16.06.2026		12.08.2026	Fachfreigabe	NEU als eigene Zeile. Bis zur Freigabe bleibt die Gruppenmarge Prüfsicht und nicht führender Finance-Abschlusswert. Voraussetzung ist im Wesentlichen ISS-003.
19	ISS-010	Finance Abgrenzung	Innenumsatz und Konzerngesellschaft als Kunde, Gefahr der Doppelzählung	Offen	Mittel	Andreas	Fachliche Antwort einholen, ob und wie Innenumsätze abzugrenzen sind	docs/FINANCE_TRIN_EIGENFERTIGUNG_2026-08-05.md Abschnitt 4a	05.08.2026		05.08.2026	Offene Frage an Andreas	NEU als eigene Zeile. Betrifft die Frage, ob eine Konzerngesellschaft als Kunde zu einer Doppelzählung im Gruppenumsatz führt.
